ASSERTION	AAECAAMGAAAAAAAAAFRAAAAAAAAAWUAB
RUN	serveur.controller.LoadTest	loadtest	1558261487107	 	3.1.2
REQUEST	39		TryConnect	1558261490701	1558261490709	OK	 
USER	TryConnect	39	END	1558261490700	1558261490710
USER	TryConnect	40	START	1558261490749	1558261490749
REQUEST	40		TryConnect	1558261490750	1558261490765	OK	 
USER	TryConnect	40	END	1558261490749	1558261490767
USER	TryConnect	41	START	1558261490809	1558261490809
REQUEST	41		TryConnect	1558261490810	1558261490825	OK	 
USER	TryConnect	41	END	1558261490809	1558261490827
USER	TryConnect	42	START	1558261490829	1558261490829
REQUEST	42		TryConnect	1558261490831	1558261490845	OK	 
USER	TryConnect	42	END	1558261490829	1558261490846
USER	TryConnect	43	START	1558261490887	1558261490887
REQUEST	43		TryConnect	1558261490888	1558261490894	OK	 
USER	TryConnect	43	END	1558261490887	1558261490895
USER	TryConnect	44	START	1558261490934	1558261490934
REQUEST	44		TryConnect	1558261490935	1558261490941	OK	 
USER	TryConnect	44	END	1558261490934	1558261490941
USER	TryConnect	45	START	1558261490981	1558261490981
REQUEST	45		TryConnect	1558261490983	1558261490996	OK	 
USER	TryConnect	45	END	1558261490981	1558261490997
USER	TryConnect	46	START	1558261491029	1558261491029
REQUEST	46		TryConnect	1558261491030	1558261491037	OK	 
USER	TryConnect	46	END	1558261491029	1558261491037
USER	TryConnect	47	START	1558261491079	1558261491079
REQUEST	47		TryConnect	1558261491080	1558261491095	OK	 
USER	TryConnect	47	END	1558261491079	1558261491096
USER	TryConnect	48	START	1558261491137	1558261491137
REQUEST	48		TryConnect	1558261491140	1558261491157	OK	 
USER	TryConnect	48	END	1558261491137	1558261491158
USER	TryConnect	49	START	1558261491184	1558261491184
REQUEST	49		TryConnect	1558261491185	1558261491192	OK	 
USER	TryConnect	49	END	1558261491184	1558261491193
USER	TryConnect	50	START	1558261491231	1558261491231
REQUEST	50		TryConnect	1558261491233	1558261491248	OK	 
USER	TryConnect	50	END	1558261491231	1558261491249
USER	TryConnect	51	START	1558261491279	1558261491279
